# Canto 26 — Encounters with the Souls of the Lustful

## Scene 1-9: Sunset in the Inferno
- cohort: molt' ombre | source: code | basis: 9-9

## Scene 10-15: The Shadows Observe Dante
- cohort: lussuriosi | source: code | basis: 11-15

## Scene 16-24: An Inquiry from the Flames
- cohort: lussuriosi | source: llm | basis: 20-20

## Scene 25-30: Arrival of the New Group
- cohort: gente | source: llm | basis: 29-29

## Scene 31-36: The Swarming Shadows
- cohort: l'ombra | source: code | basis: 31-34

## Scene 37-42: The Divided Proclamations
- cohort: la nova gente | source: llm | basis: 40-40

## Scene 43-48: The Parting of the Souls
- cohort: lussuriosi | source: code | basis: 46-48

## Scene 49-51: The Return of the First Group
- cohort: lussuriosi | source: code | basis: 49-51

## Scene 52-66: Dante's Explanation
- cohort: anime | source: code | basis: 53-53

## Scene 67-72: The Shadows' Confusion
- cohort: ciascun' ombra | source: code | basis: 70-71

## Scene 73-87: Guido's Identification
- cohort: the first group of souls | source: llm | basis: 73-87

## Scene 88-93: The Pride of the Poet
- cohort: anime | source: code | basis: 88-89

## Scene 94-102: Dante's Emotional Response
# (no soul-class present in this scene)

## Scene 103-105: Dante's Readiness to Serve
# (no soul-class present in this scene)

## Scene 106-111: Guido's Request
# (no soul-class present in this scene)

## Scene 112-114: Dante's Compliment
# (no soul-class present in this scene)

## Scene 115-126: Praise for Arnaut Daniel
# (no soul-class present in this scene)

## Scene 127-132: A Prayer for the Departed
- cohort: lussuriosi | source: code | basis: 131-132

## Scene 133-135: The Disappearance of Guido
- cohort: lussuriosi | source: code | basis: 133-134

## Scene 136-141: The Arrival of Arnaut Daniel
# (no soul-class present in this scene)

## Scene 142-148: Arnaut's Lament and Departure
# (no soul-class present in this scene)
