# Canto 26 — The Voice of the Spirit and the Vision of Beatrice

## Scene 1-12: The Voice’s Command
- it: questa dia regïon | en: this divine region | basis: 10-11

## Scene 13-18: Dante’s Response
- it: questa corte | en: this court | basis: 16-16

## Scene 19-24: The Voice’s Inquiry
- it: - | en: this court | basis: 19-24

## Scene 25-45: Dante’s Philosophical Defense
- it: - | en: this court | basis: 25-45

## Scene 46-51: The Voice’s Second Question
- it: - | en: this court | basis: 46-51

## Scene 52-66: Dante’s Declaration of Intent
- it: - | en: this court | basis: 52-66

## Scene 67-79: Beatrice’s Radiant Appearance
- it: - | en: this court | basis: 67-79

## Scene 80-84: The Vision of the Fourth Light
- it: - | en: this court | basis: 80-84

## Scene 85-90: Dante’s Physical Reaction
- it: - | en: this court | basis: 85-90

## Scene 91-96: Dante’s Prayerful Plea
- it: - | en: this court | basis: 91-96

## Scene 97-102: The Analogy of Hidden Desire
- it: - | en: this court | basis: 97-102

## Scene 103-114: The Spirit’s Promise
- it: - | en: this court | basis: 103-114

## Scene 115-117: The Cause of the Journey
- it: - | en: this court | basis: 115-117

## Scene 118-123: The History of Virgil
- it: - | en: this court | basis: 118-123

## Scene 124-132: Reflections on Human Speech
- it: - | en: this court | basis: 124-132

## Scene 133-142: The Revelation of the Name
- it: - | en: this court | basis: 133-142

# recap
Final setting: this court
